year,resource,variable,units,magnitude,source,data_value,flag
2008,Renewable,Resource rent,Number,Percent,Environmental Accounts,67,R
2008,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1062,R
2008,Solar,Generation,Gigawatt hours,Actual,MBIE,3,F
2008,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2008,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,247,R
2008,Solar,Other changes,Dollars,Thousands,Environmental Accounts,815,R
2008,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,85,R
2008,Total generation,Generation,Gigawatt hours,Actual,MBIE,41518,R
2008,Total generation,Prices,Number,Average,Electricity Authority,70,F
2008,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1042266,F
2008,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47,F
2008,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,323942,R
2008,Wind,Generation,Gigawatt hours,Actual,MBIE,1032,F
2008,Wind,Gigawatt hours,Number,Percent,MBIE,2,F
2008,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,176867,R
2008,Wind,Other changes,Dollars,Thousands,Environmental Accounts,147075,R
2008,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,25915,R
2008,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,151450,R
2008,Wood,Generation,Gigawatt hours,Actual,MBIE,483,F
2008,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2008,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,139482,R
2008,Wood,Other changes,Dollars,Thousands,Environmental Accounts,11968,R
2008,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,12116,R
2009,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,65001,R
2009,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2009,Biogas,Gigawatt hours,Number,Percent,MBIE,0,F
2009,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,64361,R
2009,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,640,R
2009,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5200,R
2009,Coal,Generation,Gigawatt hours,Actual,MBIE,4088,F
2009,Gas,Generation,Gigawatt hours,Actual,MBIE,8725,R
2009,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1328154,R
2009,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4197,F
2009,Geothermal,Gigawatt hours,Number,Percent,MBIE,10,F
2009,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1072269,R
2009,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,255885,R
2009,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,106252,R
2009,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7069849,R
2009,Hydro,Generation,Gigawatt hours,Actual,MBIE,22340,F
2009,Hydro,Gigawatt hours,Number,Percent,MBIE,54,R
2009,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7096878,R
2009,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-27028,R
